Year,DoY,Hour,NEE,LE,H,Rg,Tair,Tsoil,rH,VPD,Ustar,PPFD,SWC_5cm,SWC_20cm,QC_flag
2024,1,0,NaN,NaN,NaN,0,14.08,NaN,76.5,NaN,NaN,0,NaN,NaN,2
2024,1,0.5,NaN,NaN,NaN,0,12.4,NaN,83.5,NaN,NaN,0,NaN,NaN,2
2024,1,1,NaN,NaN,NaN,0,11.72,NaN,79.28,NaN,NaN,0,NaN,NaN,2
2024,1,1.5,NaN,NaN,NaN,0,11.27,NaN,74.72,NaN,NaN,0,NaN,NaN,2
2024,1,2,NaN,NaN,NaN,0,11.22,NaN,67.08,NaN,NaN,0,NaN,NaN,2
2024,1,2.5,NaN,NaN,NaN,0,11.04,NaN,64.58,NaN,NaN,0,NaN,NaN,2
2024,1,3,NaN,NaN,NaN,0,10.6,NaN,65.33,NaN,NaN,0,NaN,NaN,2
2024,1,3.5,NaN,NaN,NaN,0,10.21,NaN,66.45,NaN,NaN,0,NaN,NaN,2
2024,1,4,NaN,NaN,NaN,0,9.91,NaN,67.38,NaN,NaN,0,NaN,NaN,2
2024,1,4.5,NaN,NaN,NaN,0,9.63,NaN,68.43,NaN,NaN,0,NaN,NaN,2
2024,1,5,3.260156,13.548016,NaN,0,9.08,NaN,70.28,3.4204,0.742851,0,NaN,NaN,1
2024,1,5.5,1.768577,11.228548,NaN,0,8.43,NaN,72.1,3.0728,0.728115,0,NaN,NaN,1
2024,1,6,3.362485,12.144447,NaN,0,7.994,NaN,73.55,2.828,0.748205,0,NaN,NaN,1
2024,1,6.5,2.611732,8.501113,NaN,0,7.703,NaN,74.9,2.631,0.603679,0,NaN,NaN,1
2024,1,7,3.328173,15.169076,NaN,0,7.318,NaN,76.05,2.4453,0.843482,0,NaN,NaN,1
2024,1,7.5,1.072669,5.039878,NaN,0,6.996,NaN,77.11,2.286,0.686117,0,NaN,NaN,1
2024,1,8,1.243489,12.790845,NaN,48.01,6.75,NaN,77.69,2.1908,0.745242,95.4,NaN,NaN,1
2024,1,8.5,-2.59336,6.561244,NaN,116.2,6.539,NaN,78.43,2.0876,0.723437,219.4,NaN,NaN,1
2024,1,9,-6.734967,44.858805,NaN,325.5,6.451,NaN,78.88,2.0317,0.847406,537.1,NaN,NaN,1
2024,1,9.5,-7.458906,37.791655,NaN,412.4,6.743,NaN,75.49,2.4057,0.801899,662.4,NaN,NaN,1
2024,1,10,-4.426982,30.173345,NaN,492.9,7.281,NaN,74.03,2.6448,0.770738,807,NaN,NaN,1
2024,1,10.5,-8.039111,49.181633,NaN,557.6,7.879,NaN,72.32,2.9365,0.705894,820,NaN,NaN,1
2024,1,11,-11.053608,85.206332,NaN,608.1,8.6,NaN,70.68,3.2666,0.65797,985,NaN,NaN,1
2024,1,11.5,-6.606093,111.258805,NaN,643.1,9.43,NaN,66.46,3.9521,0.849953,1081,NaN,NaN,1
2024,1,12,-10.349122,96.630082,NaN,660,10.07,NaN,65.54,4.2387,0.824302,1081,NaN,NaN,1
2024,1,12.5,-12.936065,92.665913,NaN,659.6,10.15,NaN,64.23,4.4235,0.727855,1081,NaN,NaN,1
2024,1,13,-9.488609,95.510875,NaN,642.5,10.75,NaN,62.25,4.8591,0.709845,1078,NaN,NaN,1
2024,1,13.5,-5.73099,69.323989,NaN,609.4,11.11,NaN,59.38,5.3552,0.660725,951,NaN,NaN,1
2024,1,14,-11.358233,81.428585,NaN,559.2,11.33,NaN,58.14,5.5998,0.647471,893,NaN,NaN,1
2024,1,14.5,-10.786133,98.59697,NaN,494.3,11.8,NaN,56.14,6.0526,0.670679,759.2,NaN,NaN,1
2024,1,15,-6.327608,64.035954,NaN,413.6,11.96,NaN,55.19,6.2493,0.6384,624.7,NaN,NaN,1
2024,1,15.5,-11.258943,71.164568,NaN,322.8,11.89,NaN,55.41,6.19,0.637231,475.5,NaN,NaN,1
2024,1,16,NaN,68.49252,NaN,223,11.69,NaN,55.89,6.043,0.598481,321,NaN,NaN,2
2024,1,16.5,-1.185874,28.178089,NaN,119.7,11.28,NaN,57.7,5.6399,0.435866,150,NaN,NaN,1
2024,1,17,NaN,24.700238,NaN,29.34,10.49,NaN,59.95,5.0666,0.398182,17.26,NaN,NaN,2
2024,1,17.5,NaN,11.79727,NaN,0,9.7,NaN,62.04,4.5549,0.299344,0,NaN,NaN,1
2024,1,18,NaN,7.223852,NaN,0,9.22,NaN,63.2,4.2754,0.188492,0,NaN,NaN,1
2024,1,18.5,NaN,5.977864,NaN,0,8.71,NaN,65.11,3.9162,0.176225,0,NaN,NaN,1
2024,1,19,NaN,NaN,NaN,0,8.21,NaN,64.46,3.8562,0.111426,0,NaN,NaN,1
2024,1,19.5,NaN,3.768426,NaN,0,7.578,NaN,65.72,3.5627,0.2055,0,NaN,NaN,1
2024,1,20,NaN,3.474203,NaN,0,7.172,NaN,66.78,3.358,0.272653,0,NaN,NaN,1
2024,1,20.5,NaN,2.026866,NaN,0,6.758,NaN,68.02,3.1421,0.248159,0,NaN,NaN,1
2024,1,21,NaN,0.954467,NaN,0,6.293,NaN,69.46,2.906,0.271484,0,NaN,NaN,1
2024,1,21.5,1.14224,3.848601,NaN,0,5.956,NaN,70.09,2.7806,0.301138,0,NaN,NaN,1
2024,1,22,1.782762,1.436462,NaN,0,5.484,NaN,71.71,2.5453,0.301631,0,NaN,NaN,1
2024,1,22.5,NaN,NaN,NaN,0,5.102,NaN,71.62,2.4864,0.287181,0,NaN,NaN,1
2024,1,23,2.912438,NaN,NaN,0,4.771,NaN,71.95,2.4014,0.328738,0,NaN,NaN,1
2024,1,23.5,NaN,2.004442,NaN,0,4.527,NaN,72.04,2.3532,0.27008,0,NaN,NaN,1
2024,2,0,NaN,-0.284868,NaN,0,4.084,NaN,72.77,2.2217,0.240713,0,NaN,NaN,1
2024,2,0.5,NaN,NaN,NaN,0,3.814,NaN,73.82,2.0958,0.258367,0,NaN,NaN,1
2024,2,1,NaN,-0.299727,NaN,0,3.463,NaN,75.85,1.8861,0.214019,0,NaN,NaN,1
2024,2,1.5,NaN,-0.224936,NaN,0,3.19,NaN,75.65,1.8653,0.149332,0,NaN,NaN,1
2024,2,2,NaN,-0.355796,NaN,0,3.166,NaN,75.53,1.8713,0.187136,0,NaN,NaN,1
2024,2,2.5,NaN,-0.305246,NaN,0,3.015,NaN,77.09,1.7334,0.179458,0,NaN,NaN,1
2024,2,3,NaN,-0.471553,NaN,0,2.678,NaN,79.09,1.5447,0.209538,0,NaN,NaN,1
2024,2,3.5,NaN,NaN,NaN,0,2.645,NaN,77.39,1.6663,0.216057,0,NaN,NaN,1
